pass 2, stk 1, steps 436, max0 31, max1 69
pass 2, stk 1, steps 437, max0 31, max1 69
pass 2, stk 1, steps 438, max0 31, max1 69
pass 2, stk 1, steps 439, max0 31, max1 69
pass 2, stk 1, steps 440, max0 31, max1 69
pass 2, stk 1, steps 441, max0 31, max1 69
pass 2, stk 1, steps 442, max0 31, max1 69
pass 2, stk 1, steps 443, max0 31, max1 69
pass 2, stk 1, steps 445, max0 32, max1 68
pass 2, stk 1, steps 446, max0 32, max1 68
pass 2, stk 1, steps 447, max0 32, max1 68
pass 2, stk 1, steps 448, max0 32, max1 68
pass 2, stk 1, steps 449, max0 32, max1 68
pass 2, stk 1, steps 450, max0 32, max1 68
pass 2, stk 1, steps 451, max0 32, max1 68
pass 2, stk 1, steps 452, max0 32, max1 68
pass 2, stk 1, steps 453, max0 33, max1 67
pass 2, stk 1, steps 454, max0 33, max1 67
pass 2, stk 1, steps 456, max0 34, max1 66
pass 2, stk 1, steps 457, max0 34, max1 66
pass 2, stk 1, steps 458, max0 34, max1 66
pass 2, stk 1, steps 459, max0 34, max1 66
pass 2, stk 1, steps 460, max0 34, max1 66
pass 2, stk 1, steps 461, max0 34, max1 66
pass 2, stk 1, steps 463, max0 35, max1 65
pass 2, stk 1, steps 464, max0 35, max1 65
pass 2, stk 1, steps 465, max0 35, max1 65
pass 2, stk 1, steps 466, max0 35, max1 65
pass 2, stk 1, steps 467, max0 35, max1 65
pass 2, stk 1, steps 468, max0 35, max1 65
pass 2, stk 1, steps 469, max0 35, max1 65
pass 2, stk 1, steps 470, max0 35, max1 65
pass 2, stk 1, steps 471, max0 35, max1 65
pass 2, stk 1, steps 472, max0 35, max1 65
pass 2, stk 1, steps 473, max0 35, max1 65
pass 2, stk 1, steps 474, max0 35, max1 65
pass 2, stk 1, steps 475, max0 35, max1 65
pass 2, stk 1, steps 476, max0 35, max1 65
pass 2, stk 1, steps 477, max0 35, max1 65
pass 2, stk 1, steps 478, max0 35, max1 65
pass 2, stk 1, steps 480, max0 36, max1 64
pass 2, stk 1, steps 482, max0 37, max1 63
pass 2, stk 1, steps 483, max0 37, max1 63
pass 2, stk 1, steps 485, max0 38, max1 62
pass 2, stk 1, steps 486, max0 38, max1 62
pass 2, stk 1, steps 487, max0 38, max1 62
pass 2, stk 1, steps 488, max0 38, max1 62
pass 2, stk 1, steps 489, max0 38, max1 62
pass 2, stk 1, steps 490, max0 38, max1 62
pass 2, stk 1, steps 491, max0 38, max1 62
pass 2, stk 1, steps 492, max0 38, max1 62
pass 2, stk 1, steps 493, max0 38, max1 62
pass 2, stk 1, steps 494, max0 38, max1 62
pass 2, stk 1, steps 495, max0 38, max1 62
pass 2, stk 1, steps 496, max0 38, max1 62
pass 2, stk 1, steps 497, max0 38, max1 62
pass 2, stk 1, steps 498, max0 38, max1 62
pass 2, stk 1, steps 499, max0 39, max1 61
pass 2, stk 1, steps 500, max0 39, max1 61
pass 2, stk 1, steps 501, max0 39, max1 61
pass 2, stk 1, steps 502, max0 39, max1 61
pass 2, stk 1, steps 503, max0 39, max1 61
pass 2, stk 1, steps 504, max0 39, max1 61
pass 2, stk 1, steps 505, max0 39, max1 61
pass 2, stk 1, steps 506, max0 39, max1 61
pass 2, stk 1, steps 507, max0 39, max1 61
pass 2, stk 1, steps 508, max0 39, max1 61
pass 2, stk 1, steps 509, max0 39, max1 61
pass 2, stk 1, steps 511, max0 40, max1 60
pass 2, stk 1, steps 512, max0 40, max1 60
pass 2, stk 1, steps 513, max0 40, max1 60
pass 2, stk 1, steps 514, max0 40, max1 60
pass 2, stk 1, steps 515, max0 40, max1 60
pass 2, stk 1, steps 516, max0 40, max1 60
pass 2, stk 1, steps 517, max0 40, max1 60
pass 2, stk 1, steps 518, max0 40, max1 60
pass 2, stk 1, steps 519, max0 40, max1 60
pass 2, stk 1, steps 520, max0 40, max1 60
pass 2, stk 1, steps 521, max0 40, max1 60
pass 2, stk 1, steps 522, max0 40, max1 60
pass 2, stk 1, steps 523, max0 40, max1 60
pass 2, stk 1, steps 524, max0 40, max1 60
pass 2, stk 1, steps 525, max0 40, max1 60
pass 2, stk 1, steps 526, max0 40, max1 60
pass 2, stk 1, steps 527, max0 40, max1 60
pass 2, stk 1, steps 528, max0 40, max1 60
pass 2, stk 1, steps 529, max0 40, max1 60
pass 2, stk 1, steps 530, max0 40, max1 60
pass 2, stk 1, steps 532, max0 41, max1 59
pass 2, stk 1, steps 533, max0 41, max1 59
pass 2, stk 1, steps 534, max0 41, max1 59
pass 2, stk 1, steps 535, max0 41, max1 59
pass 2, stk 1, steps 537, max0 42, max1 58
pass 2, stk 1, steps 538, max0 42, max1 58
pass 2, stk 1, steps 539, max0 42, max1 58
pass 2, stk 1, steps 540, max0 42, max1 58
pass 2, stk 1, steps 542, max0 43, max1 57
pass 2, stk 1, steps 543, max0 43, max1 57
pass 2, stk 1, steps 544, max0 43, max1 57
pass 2, stk 1, steps 545, max0 43, max1 57
pass 2, stk 1, steps 546, max0 43, max1 57
pass 2, stk 1, steps 547, max0 43, max1 57
pass 2, stk 1, steps 548, max0 43, max1 57
pass 2, stk 1, steps 549, max0 43, max1 57
pass 2, stk 1, steps 550, max0 43, max1 57
pass 2, stk 1, steps 551, max0 43, max1 57
pass 2, stk 1, steps 552, max0 43, max1 57
pass 2, stk 1, steps 553, max0 43, max1 57
pass 2, stk 1, steps 554, max0 44, max1 56
pass 2, stk 1, steps 555, max0 44, max1 56
pass 2, stk 1, steps 556, max0 44, max1 56
